clip_id,remap_chrom,remap_pos,remap_mapq,remap_cigar,clip_length
sample1|NB501618:163:HWFCNAFXX:1:11305:1497:11984|right|1:91852829|clip=33,11,69457916,60,33M,33
sample1|NB501618:163:HWFCNAFXX:1:21205:5098:14436|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21210:23677:11490|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21301:11280:20232|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21302:14659:11351|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21302:17312:7841|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21304:21869:10280|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21309:21175:5214|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21312:10122:13358|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21312:5167:7204|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21312:7553:12338|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11212:12302:9567|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11303:10785:16813|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11307:3471:1556|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11309:9676:3434|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11310:19868:6695|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11310:24945:5218|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11312:13335:8587|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21302:19967:4329|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21303:16286:11763|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21303:9095:18749|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21309:1627:15829|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11404:1331:17655|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11408:5739:11210|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11409:7416:15156|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11412:9604:3587|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11502:24646:5009|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11503:24509:4514|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11503:7356:15521|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11505:18829:1673|right|2:42522552|clip=46,2,29446348,60,20M1D26M,46
sample1|NB501618:163:HWFCNAFXX:3:11507:8755:5888|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11508:15429:17321|right|2:42522552|clip=46,2,29446348,60,36M1D10M,46
sample1|NB501618:163:HWFCNAFXX:3:11508:25175:7496|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11603:8362:17172|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11604:1337:4152|right|2:42522552|clip=46,2,29446348,60,9M1D37M,46
sample1|NB501618:163:HWFCNAFXX:3:11604:25578:4905|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11604:25689:18055|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11610:3454:6870|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11612:19456:2029|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11612:8322:16130|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21402:6980:2863|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21404:9321:19127|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21405:9222:14214|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21407:11541:1700|right|2:42522552|clip=46,2,29446348,60,5M1D41M,46
sample1|NB501618:163:HWFCNAFXX:3:21407:26753:16526|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21501:10521:11561|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21501:5517:15394|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21506:19090:16121|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21507:9363:4481|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21508:19328:15605|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21508:6979:7950|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21509:8643:3590|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21510:17788:17391|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21601:15118:3709|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21608:15521:8991|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21610:12551:11918|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21611:9773:13441|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21612:4594:12221|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11404:16827:3080|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11404:26235:14221|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11408:12200:3695|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11409:13547:4031|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11411:11022:10018|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11411:20561:3138|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11507:18235:5897|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11509:19978:15367|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11511:2944:3352|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11602:14957:19222|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11603:16007:8072|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11605:10120:8882|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11605:21482:18359|right|2:42522552|clip=46,2,29446348,60,18M1D28M,46
sample1|NB501618:163:HWFCNAFXX:4:11608:16596:18273|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11611:1881:15763|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21401:1959:12067|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21401:5282:9096|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21402:5759:18577|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21404:7858:20215|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21408:2917:11295|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21505:23336:19056|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21506:15834:8164|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21508:9785:20170|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21509:5979:9204|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21512:9675:11017|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21602:22778:16047|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21602:9342:18229|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21603:6037:1599|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21607:8470:1491|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21609:10321:3467|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21610:10825:1644|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21610:9515:5716|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11105:15504:5886|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11305:2880:7183|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11306:20054:16455|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11310:24245:20170|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21106:23122:8970|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21204:1165:16838|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21309:8148:2922|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11112:26106:5806|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11212:18635:19285|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11303:16448:12097|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11304:9194:15029|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11307:13958:3298|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21305:16209:18373|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11406:25287:16607|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11407:17648:3638|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11509:18340:6884|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11512:2783:16246|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11608:23943:18671|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21401:10568:19118|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21401:16482:13616|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21402:24232:13727|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21404:16739:13338|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21411:26208:10514|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21412:10706:16727|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21505:11851:14417|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21603:11978:18536|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21603:20622:3644|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21609:15110:10824|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21611:16658:9573|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11402:1656:12026|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11404:11568:13229|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11405:7111:5709|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11406:10422:14362|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11408:14359:11623|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11506:3643:20192|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11506:4022:7671|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11604:13791:6609|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11604:22190:8310|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11608:13555:3878|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11612:15616:8835|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21410:16027:6037|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21412:3339:11897|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21504:21881:2940|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21508:3430:11588|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21511:9551:11265|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21512:14289:13485|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21606:20751:4238|right|2:42522553|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21602:6382:1251|right|2:42522554|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11412:20310:10834|right|2:42522554|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11402:10763:17478|right|2:42522555|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21612:7046:13204|right|2:42522555|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21301:17218:9115|right|2:42522557|clip=31,2,29446364,60,31M,31
sample1|NB501618:163:HWFCNAFXX:2:21301:17218:9115|right|2:42522557|clip=46,2,29446349,60,46M,46
sample1|NB501618:163:HWFCNAFXX:4:21612:9579:12639|right|2:42522557|clip=31,2,29446364,60,31M,31
sample1|NB501618:163:HWFCNAFXX:4:21612:9579:12639|right|2:42522557|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21104:12890:4601|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:1:21104:12890:4601|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11403:13102:7941|right|2:42522558|clip=46,2,29446348,60,29M1D17M,46
sample1|NB501618:163:HWFCNAFXX:3:11510:26433:9250|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:3:11510:26433:9250|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11512:6470:5516|right|2:42522558|clip=45,2,29446348,60,20M2D25M,45
sample1|NB501618:163:HWFCNAFXX:3:11608:1295:2838|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:3:11608:1295:2838|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21603:19821:18707|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:3:21603:19821:18707|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11611:11230:13381|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:4:11611:11230:13381|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21406:6015:2085|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:4:21406:6015:2085|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21510:15778:4954|right|2:42522558|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:4:21510:15778:4954|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:21607:14228:18289|right|2:42522558|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21112:18849:6520|right|2:42522559|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:4:11609:24076:12066|right|2:42522559|clip=32,2,29446363,60,32M,32
sample1|NB501618:163:HWFCNAFXX:4:11609:24076:12066|right|2:42522559|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:4:11612:12963:11813|right|2:42522559|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21112:18849:6520|right|2:42522560|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21307:1412:7121|right|2:42522560|clip=34,2,29446361,60,34M,34
sample1|NB501618:163:HWFCNAFXX:2:21307:1412:7121|right|2:42522560|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:11410:23748:7200|right|2:42522560|clip=33,2,29446362,60,33M,33
sample1|NB501618:163:HWFCNAFXX:3:11410:23748:7200|right|2:42522560|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11312:22333:2604|right|2:42522561|clip=34,2,29446361,60,34M,34
sample1|NB501618:163:HWFCNAFXX:1:11312:22333:2604|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21301:6967:13008|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:1:21301:6967:13008|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21303:11654:7443|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:1:21303:11654:7443|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21304:22576:19246|right|2:42522561|clip=34,2,29446361,60,34M,34
sample1|NB501618:163:HWFCNAFXX:1:21304:22576:19246|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21305:4181:5311|right|2:42522561|clip=34,2,29446361,60,34M,34
sample1|NB501618:163:HWFCNAFXX:1:21305:4181:5311|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21312:3623:17660|right|2:42522561|clip=35,2,29446360,59,35M,35
sample1|NB501618:163:HWFCNAFXX:1:21312:3623:17660|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:11310:1786:3325|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:2:11310:1786:3325|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21303:12764:8742|right|2:42522561|clip=34,2,29446361,60,34M,34
sample1|NB501618:163:HWFCNAFXX:2:21303:12764:8742|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:2:21312:7790:19327|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:2:21312:7790:19327|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21408:13239:4795|right|2:42522561|clip=34,2,29446361,60,34M,34
sample1|NB501618:163:HWFCNAFXX:3:21408:13239:4795|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21510:25264:5439|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:21510:25264:5439|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21512:15372:13685|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:21512:15372:13685|right|2:42522561|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:3:21606:3616:6148|right|2:42522561|clip=35,2,29446360,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:21606:3616:6148|right|2:42522561|clip=47,2,29446348,60,47M,47
