sample,chrom,bin,n_softclipped_reads,median_softclip,max_softclip,region
sample1,7,140499000,2,24.5,30,chr7:140499000
sample1,7,143948000,2,17.0,17,chr7:143948000
sample1,7,143996000,2,17.0,17,chr7:143996000
sample1,8,29885000,2,16.0,16,chr8:29885000
sample1,8,38034000,2,24.0,24,chr8:38034000
sample1,8,38313000,2,29.0,29,chr8:38313000
sample1,8,38314000,2,29.0,29,chr8:38314000
sample1,8,94965000,2,17.0,17,chr8:94965000
sample1,8,128990000,2,19.0,19,chr8:128990000
sample1,8,129086000,2,20.0,20,chr8:129086000
sample1,8,144891000,2,18.0,18,chr8:144891000
sample1,9,35062000,2,23.0,23,chr9:35062000
sample1,9,35657000,2,20.0,20,chr9:35657000
sample1,9,36486000,2,20.0,20,chr9:36486000
sample1,9,79186000,2,20.5,21,chr9:79186000
sample1,9,87338000,2,24.5,32,chr9:87338000
sample1,9,111554000,2,40.0,42,chr9:111554000
sample1,9,135267000,2,15.5,16,chr9:135267000
sample1,MT,0,2,30.5,42,chrMT:0
sample1,X,10497000,2,16.0,16,chrX:10497000
sample1,X,46463000,2,15.0,15,chrX:46463000
sample1,X,74803000,2,20.0,23,chrX:74803000
sample1,X,78581000,2,17.0,17,chrX:78581000
sample1,X,108297000,2,20.0,20,chrX:108297000
sample1,1,17223000,1,18.0,18,chr1:17223000
sample1,1,50396000,1,17.0,17,chr1:50396000
sample1,1,115252000,1,17.0,17,chr1:115252000
sample1,1,162746000,1,19.0,19,chr1:162746000
sample1,1,180145000,1,18.0,18,chr1:180145000
sample1,1,229465000,1,19.0,19,chr1:229465000
sample1,10,3146000,1,20.0,20,chr10:3146000
sample1,10,43598000,1,23.0,23,chr10:43598000
sample1,10,71576000,1,18.0,18,chr10:71576000
sample1,10,123276000,1,18.0,18,chr10:123276000
sample1,11,810000,1,21.0,21,chr11:810000
sample1,11,18428000,1,26.0,26,chr11:18428000
sample1,11,47013000,1,19.0,19,chr11:47013000
sample1,11,68171000,1,26.0,26,chr11:68171000
sample1,11,69062000,1,26.0,26,chr11:69062000
sample1,11,69482000,1,26.0,26,chr11:69482000
sample1,11,94390000,1,16.0,16,chr11:94390000
sample1,12,6494000,1,18.0,18,chr12:6494000
sample1,12,13031000,1,19.0,19,chr12:13031000
sample1,12,25002000,1,28.0,28,chr12:25002000
sample1,12,25362000,1,20.0,20,chr12:25362000
sample1,12,25403000,1,15.0,15,chr12:25403000
sample1,12,51390000,1,17.0,17,chr12:51390000
sample1,12,52627000,1,51.0,51,chr12:52627000
sample1,12,52641000,1,16.0,16,chr12:52641000
sample1,12,52841000,1,15.0,15,chr12:52841000
sample1,12,54105000,1,18.0,18,chr12:54105000
sample1,13,110076000,1,43.0,43,chr13:110076000
sample1,13,110706000,1,20.0,20,chr13:110706000
sample1,14,21459000,1,15.0,15,chr14:21459000
sample1,14,105559000,1,36.0,36,chr14:105559000
sample1,15,32119000,1,20.0,20,chr15:32119000
sample1,15,56484000,1,18.0,18,chr15:56484000
sample1,15,66777000,1,15.0,15,chr15:66777000
sample1,15,74971000,1,20.0,20,chr15:74971000
sample1,15,77363000,1,31.0,31,chr15:77363000
sample1,15,88669000,1,20.0,20,chr15:88669000
sample1,16,88000,1,18.0,18,chr16:88000
sample1,16,11995000,1,18.0,18,chr16:11995000
sample1,16,21435000,1,33.0,33,chr16:21435000
sample1,16,21867000,1,33.0,33,chr16:21867000
sample1,16,22526000,1,33.0,33,chr16:22526000
sample1,16,25123000,1,17.0,17,chr16:25123000
sample1,16,72821000,1,32.0,32,chr16:72821000
sample1,17,42937000,1,22.0,22,chr17:42937000
sample1,18,57131000,1,17.0,17,chr18:57131000
sample1,19,1440000,1,21.0,21,chr19:1440000
sample1,19,2445000,1,23.0,23,chr19:2445000
sample1,19,3061000,1,28.0,28,chr19:3061000
sample1,19,3977000,1,20.0,20,chr19:3977000
sample1,19,8038000,1,21.0,21,chr19:8038000
sample1,19,19023000,1,16.0,16,chr19:19023000
sample1,19,34868000,1,29.0,29,chr19:34868000
sample1,19,41086000,1,21.0,21,chr19:41086000
sample1,19,42806000,1,27.0,27,chr19:42806000
sample1,19,58302000,1,29.0,29,chr19:58302000
sample1,19,58881000,1,19.0,19,chr19:58881000
sample1,2,10109000,1,20.0,20,chr2:10109000
sample1,2,29430000,1,26.0,26,chr2:29430000
sample1,2,36782000,1,38.0,38,chr2:36782000
sample1,2,43458000,1,24.0,24,chr2:43458000
sample1,2,43514000,1,42.0,42,chr2:43514000
sample1,2,43547000,1,19.0,19,chr2:43547000
sample1,2,43711000,1,15.0,15,chr2:43711000
sample1,2,43725000,1,19.0,19,chr2:43725000
sample1,2,43739000,1,35.0,35,chr2:43739000
sample1,2,43779000,1,32.0,32,chr2:43779000
sample1,2,43793000,1,41.0,41,chr2:43793000
sample1,2,43819000,1,29.0,29,chr2:43819000
sample1,2,75120000,1,17.0,17,chr2:75120000
sample1,2,128751000,1,18.0,18,chr2:128751000
sample1,2,136680000,1,17.0,17,chr2:136680000
sample1,2,207024000,1,20.0,20,chr2:207024000
sample1,2,211292000,1,20.0,20,chr2:211292000
sample1,2,220659000,1,27.0,27,chr2:220659000
sample1,20,30253000,1,21.0,21,chr20:30253000
sample1,20,56282000,1,26.0,26,chr20:56282000
sample1,20,57415000,1,22.0,22,chr20:57415000
sample1,20,57474000,1,16.0,16,chr20:57474000
sample1,21,45743000,1,20.0,20,chr21:45743000
sample1,3,12575000,1,18.0,18,chr3:12575000
sample1,3,12626000,1,28.0,28,chr3:12626000
sample1,3,12629000,1,23.0,23,chr3:12629000
sample1,3,12653000,1,33.0,33,chr3:12653000
sample1,3,41597000,1,19.0,19,chr3:41597000
sample1,3,48456000,1,28.0,28,chr3:48456000
sample1,3,107846000,1,27.0,27,chr3:107846000
sample1,3,177113000,1,19.0,19,chr3:177113000
sample1,3,178951000,1,29.0,29,chr3:178951000
sample1,4,1795000,1,29.0,29,chr4:1795000
sample1,4,1801000,1,20.0,20,chr4:1801000
sample1,5,122390000,1,26.0,26,chr5:122390000
sample1,5,137893000,1,18.0,18,chr5:137893000
sample1,5,149785000,1,24.0,24,chr5:149785000
sample1,6,3444000,1,18.0,18,chr6:3444000
sample1,6,26124000,1,20.0,20,chr6:26124000
sample1,6,27114000,1,19.0,19,chr6:27114000
sample1,6,27776000,1,20.0,20,chr6:27776000
sample1,6,27782000,1,20.0,20,chr6:27782000
sample1,6,27805000,1,20.0,20,chr6:27805000
sample1,6,34212000,1,19.0,19,chr6:34212000
sample1,6,74229000,1,16.0,16,chr6:74229000
sample1,6,105765000,1,20.0,20,chr6:105765000
sample1,6,166952000,1,20.0,20,chr6:166952000
sample1,7,30485000,1,18.0,18,chr7:30485000
sample1,7,32952000,1,40.0,40,chr7:32952000
sample1,7,32957000,1,27.0,27,chr7:32957000
sample1,7,35871000,1,19.0,19,chr7:35871000
sample1,7,40095000,1,19.0,19,chr7:40095000
sample1,7,55229000,1,28.0,28,chr7:55229000
sample1,7,55240000,1,30.0,30,chr7:55240000
sample1,7,55266000,1,37.0,37,chr7:55266000
sample1,7,63774000,1,38.0,38,chr7:63774000
sample1,7,73207000,1,21.0,21,chr7:73207000
sample1,7,75988000,1,27.0,27,chr7:75988000
sample1,7,77579000,1,19.0,19,chr7:77579000
sample1,7,116334000,1,22.0,22,chr7:116334000
sample1,7,140758000,1,17.0,17,chr7:140758000
sample1,7,148511000,1,19.0,19,chr7:148511000
sample1,8,32472000,1,20.0,20,chr8:32472000
sample1,8,38272000,1,26.0,26,chr8:38272000
sample1,8,38280000,1,16.0,16,chr8:38280000
sample1,8,38286000,1,35.0,35,chr8:38286000
sample1,8,38325000,1,33.0,33,chr8:38325000
sample1,8,54727000,1,19.0,19,chr8:54727000
sample1,8,54985000,1,19.0,19,chr8:54985000
sample1,8,109248000,1,20.0,20,chr8:109248000
sample1,8,128136000,1,37.0,37,chr8:128136000
sample1,8,128384000,1,17.0,17,chr8:128384000
sample1,8,128917000,1,19.0,19,chr8:128917000
sample1,8,130737000,1,40.0,40,chr8:130737000
sample1,9,69247000,1,19.0,19,chr9:69247000
sample1,9,114683000,1,32.0,32,chr9:114683000
sample1,9,135271000,1,25.0,25,chr9:135271000
sample1,9,135273000,1,24.0,24,chr9:135273000
sample1,9,135894000,1,16.0,16,chr9:135894000
sample1,GL000220.1,105000,1,21.0,21,chrGL000220.1:105000
sample1,GL000220.1,126000,1,28.0,28,chrGL000220.1:126000
sample1,GL000220.1,149000,1,21.0,21,chrGL000220.1:149000
sample1,GL000229.1,19000,1,21.0,21,chrGL000229.1:19000
sample1,MT,13000,1,39.0,39,chrMT:13000
sample1,X,30872000,1,15.0,15,chrX:30872000
sample1,X,153596000,1,35.0,35,chrX:153596000
sample2,1,205649000,2743,28.0,39,chr1:205649000
sample2,1,156844000,2556,26.0,44,chr1:156844000
sample2,4,1741000,2411,26.0,35,chr4:1741000
sample2,1,154142000,2410,26.0,45,chr1:154142000
sample2,GL000220.1,113000,1236,21.0,47,chrGL000220.1:113000
sample2,GL000220.1,157000,1224,21.0,47,chrGL000220.1:157000
sample2,GL000220.1,115000,1222,21.0,50,chrGL000220.1:115000
sample2,GL000220.1,159000,1177,21.0,50,chrGL000220.1:159000
